0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
152,AR_27.JPG,10/7/2023,Arabkir,Aram Khachatryan Street,no valve,4.83,No secondary purpose,Unknown,Inga Avetisyan
153,AR_28.JPG,10/7/2023,Arabkir,Aram Khachatryan Street,no valve,3.9,No secondary purpose,Unknown,Inga Avetisyan
154,AR_29.JPG,10/7/2023,Arabkir,Vagharshyan Street,no valve,3,No secondary purpose,Unknown,Inga Avetisyan
155,AR_3.JPG,9/30/2023,Arabkir,Orbeli brothers,no valve,4,No secondary purpose,2010,Inga Avetisyan
156,AR_30.JPG,10/7/2023,Arabkir,Komitas Avenue,with valve,,No secondary purpose,Unknown,Inga Avetisyan
157,AR_31.JPG,10/7/2023,Arabkir,Komitas Avenue,no valve,2.2,No secondary purpose,Unknown,Inga Avetisyan
158,AR_32.JPG,10/7/2023,Arabkir,Vagharshyan Street,no valve,3,No secondary purpose,Unknown,Inga Avetisyan
159,AR_33.JPG,10/7/2023,Arabkir,Komitas Avenue,no valve,7.7,No secondary purpose,Unknown,Inga Avetisyan
160,AR_34.JPG,10/7/2023,Arabkir,Hrachya Kochar Street,no valve,2.85,No secondary purpose,Unknown,Inga Avetisyan
161,AR_35.JPG,10/7/2023,Arabkir,Hrachya Kochar Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
162,AR_36.JPG,10/22/2023,Arabkir,Gulakyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
163,AR_37.JPG,10/22/2023,Arabkir,Nikoghayos Tigranyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
164,AR_38.JPG,10/22/2023,Arabkir,Mamikonyants Street,no valve,4.3,No secondary purpose,2016,Inga Avetisyan
165,AR_39.JPG,10/22/2023,Arabkir,Mamikonyants Street,no valve,2.8,No secondary purpose,Unknown,Inga Avetisyan
166,AR_4.JPG,9/30/2023,Arabkir,Orbeli brothers,no valve,9,No secondary purpose,Unknown,Inga Avetisyan
167,AR_40.JPG,10/22/2023,Arabkir,Mamikonyants Street,no valve,4.3,No secondary purpose,Unknown,Inga Avetisyan
168,AR_41.JPG,10/22/2023,Arabkir,Mamikonyants Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
169,AR_42.JPG,10/22/2023,Arabkir,Mamikonyants Street,no valve,2.15,No secondary purpose,Unknown,Inga Avetisyan
170,AR_43.JPG,10/22/2023,Arabkir,Mamikonyants Street,no valve,1.7,No secondary purpose,Unknown,Inga Avetisyan
171,AR_44.JPG,10/22/2023,Arabkir,Shahsuvaryan Street,with valve,,No secondary purpose,2020,Inga Avetisyan
172,AR_45.JPG,10/22/2023,Arabkir,Shahsuvaryan Street,no valve,4,No secondary purpose,Unknown,Inga Avetisyan
173,AR_46.JPG,10/22/2023,Arabkir,Shirvanzade Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
174,AR_47.JPG,10/22/2023,Arabkir,Shirvanzade Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
175,AR_48.JPG,10/22/2023,Arabkir,Azatutyan Avenue,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
176,AR_49.JPG,10/22/2023,Arabkir,Shirvanzade Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
177,AR_5.JPG,9/30/2023,Arabkir,Yerznkian,no valve,3.6,No secondary purpose,Unknown,Inga Avetisyan
178,AR_50.JPG,10/22/2023,Arabkir,Mamikonyants Street,no valve,3.9,No secondary purpose,Unknown,Inga Avetisyan
179,AR_51.JPG,10/22/2023,Arabkir,Nikoghayos Tigranyan Street,no valve,2.4,No secondary purpose,Unknown,Inga Avetisyan
180,AR_52.JPG,10/22/2023,Arabkir,Nikoghayos Tigranyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
181,AR_53.JPG,10/22/2023,Arabkir,Nikoghayos Tigranyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
182,AR_54.JPG,10/22/2023,Arabkir,Nikoghayos Tigranyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
183,AR_55.JPG,10/22/2023,Arabkir,Nikoghayos Tigranyan Street,no valve,3.82,No secondary purpose,Unknown,Inga Avetisyan
184,AR_56.JPG,10/22/2023,Arabkir,Nikoghayos Tigranyan Street,no valve,5.1,No secondary purpose,Unknown,Inga Avetisyan
185,AR_57.JPG,10/22/2023,Arabkir,Komitas Avenue,no valve,5.12,No secondary purpose,Unknown,Inga Avetisyan
186,AR_58.JPG,10/22/2023,Arabkir,Vratsakan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
187,AR_59.JPG,10/22/2023,Arabkir,Nairi Zaryan Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
188,AR_6.JPG,9/30/2023,Arabkir,Orbeli brothers,with valve,,No secondary purpose,Unknown,Inga Avetisyan
189,AR_60.JPG,10/22/2023,Arabkir,Hovsep Emin Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
